Survived,Pclass,Sex,Age,SibSp,Parch,Fare,TitleGroup,FamilySize
0,1,0,30,0,0,25.925,Mr,1
0,3,0,28,0,0,56.4958,Mr,1
0,1,0,61,0,0,33.5,Mr,1
0,3,0,4,4,1,29.125,kid,6
1,3,1,1,1,1,11.1333,Miss,3
0,3,0,21,0,0,7.925,Mr,1
0,1,0,56,0,0,30.6958,Mr,1
0,3,0,18,1,1,7.8542,Mr,3
0,3,0,4,3,1,25.4667,kid,5
0,1,1,50,0,0,28.7125,Miss,1
0,2,0,30,0,0,13.0,Mr,1
0,3,0,36,0,0,0.0,Mr,1
0,3,1,21,8,2,69.55,Miss,11
0,2,0,30,0,0,15.05,Mr,1
0,3,0,9,4,2,31.3875,kid,7
1,2,0,1,2,1,39.0,kid,4
1,3,1,4,0,2,22.025,Miss,3
0,1,0,30,0,0,50.0,Mr,1
1,3,1,35,1,0,15.5,Mrs,2
1,1,0,45,0,0,26.55,Mr,1
0,3,0,40,1,1,15.5,Mr,3
0,3,0,36,0,0,7.8958,Mr,1
1,2,1,32,0,0,13.0,Mrs,1
0,2,0,19,0,0,13.0,Mr,1
1,3,1,19,1,0,7.8542,Miss,2
1,2,0,3,1,1,26.0,kid,3
1,1,1,44,0,0,27.7208,Mrs,1
1,1,1,58,0,0,146.5208,Miss,1
0,3,0,30,0,0,7.75,Mr,1
0,3,0,42,0,1,8.4042,Mr,2
1,3,1,21,0,0,7.75,Miss,1
0,2,1,24,0,0,13.0,Miss,1
0,3,0,28,0,0,9.5,Mr,1
0,3,0,30,8,2,69.55,Mr,11
0,3,0,34,0,0,6.4958,Mr,1
0,3,0,46,0,0,7.225,Mr,1
1,3,0,18,0,0,8.05,Mr,1
0,3,1,2,0,1,10.4625,Miss,2
0,3,0,32,1,0,15.85,Mr,2
1,3,0,26,0,0,18.7875,Mr,1
1,3,1,16,0,0,7.75,Miss,1
1,1,0,40,0,0,31.0,Mr,1
0,3,0,24,0,0,7.05,Mr,1
1,2,1,35,0,0,21.0,Miss,1
0,3,0,22,0,0,7.25,Mr,1
0,2,0,30,0,0,13.0,Mr,1
0,3,0,30,1,0,7.75,Mr,2
1,1,1,31,1,0,113.275,Miss,2
1,3,1,27,0,0,7.925,Miss,1
0,2,0,42,1,0,27.0,Mr,2
1,1,1,32,0,0,76.2917,Miss,1
0,2,0,30,0,0,10.5,Mr,1
1,3,0,16,0,0,8.05,Mr,1
0,2,0,27,0,0,13.0,Mr,1
0,3,0,51,0,0,8.05,Mr,1
0,3,0,30,0,0,7.8958,Mr,1
1,1,0,38,1,0,90.0,Mr,2
0,3,0,22,0,0,9.35,Mr,1
1,2,0,19,0,0,10.5,Mr,1
0,3,0,21,0,0,7.25,Mr,1
0,2,0,18,0,0,13.0,Mr,1
0,3,1,21,3,1,25.4667,Miss,5
1,1,1,35,1,0,83.475,Mrs,2
0,3,0,29,0,0,7.775,Mr,1
0,2,0,59,0,0,13.5,Mr,1
1,3,1,5,4,2,31.3875,Miss,7
0,2,0,24,0,0,10.5,Mr,1
0,3,1,21,0,0,7.55,Miss,1
0,2,0,44,1,0,26.0,Mr,2
1,2,1,8,0,2,26.25,Miss,3
0,2,0,19,0,0,10.5,Mr,1
0,2,0,33,0,0,12.275,Mr,1
0,3,1,21,1,0,14.4542,Miss,2
1,3,1,21,1,0,15.5,Miss,2
0,2,0,29,0,0,10.5,Mr,1
0,3,0,22,0,0,7.125,Mr,1
0,3,0,30,0,0,7.225,Mr,1
0,1,0,44,2,0,90.0,Dr,3
0,3,1,25,0,0,7.775,Miss,1
1,2,1,24,0,2,14.5,Mrs,3
1,1,0,37,1,1,52.5542,Mr,3
0,2,0,54,1,0,26.0,Mr,2
0,3,0,30,0,0,7.25,Mr,1
0,3,1,29,1,1,10.4625,Mrs,3
0,1,0,62,0,0,26.55,Mr,1
0,3,0,30,1,0,16.1,Mr,2
0,3,1,41,0,2,20.2125,Mrs,3
1,3,1,29,0,2,15.2458,Mrs,3
1,1,1,35,0,0,79.2,Mrs,1
1,1,1,30,0,0,86.5,Miss,1
1,1,1,35,0,0,512.3292,Miss,1
1,2,1,50,0,1,26.0,Mrs,2
0,3,0,30,0,0,7.75,Mr,1
1,3,0,3,4,2,31.3875,kid,7
0,1,0,52,1,1,79.65,Mr,3
0,1,0,40,0,0,0.0,Mr,1
0,3,1,21,0,0,7.75,Miss,1
0,2,0,36,0,0,10.5,Mr,1
0,3,0,16,4,1,39.6875,Mr,6
1,3,0,25,1,0,7.775,Mr,2
1,1,1,58,0,1,153.4625,Mrs,2
1,1,1,35,0,0,135.6333,Miss,1
0,1,0,30,0,0,31.0,Mr,1
1,3,0,25,0,0,0.0,Mr,1
1,2,1,41,0,1,19.5,Mrs,2
0,1,0,37,0,1,29.7,Mr,2
1,3,1,21,0,0,7.75,Miss,1
1,1,1,63,1,0,77.9583,Miss,2
0,3,1,45,0,0,7.75,Miss,1
0,2,0,30,0,0,0.0,Mr,1
0,3,0,7,4,1,29.125,kid,6
1,3,1,35,1,1,20.25,Mrs,3
0,3,0,65,0,0,7.75,Mr,1
0,3,0,28,0,0,7.8542,Mr,1
0,3,0,16,0,0,9.5,Mr,1
1,3,0,19,0,0,8.05,Mr,1
0,1,0,30,0,0,26.0,Mr,1
0,3,0,33,0,0,8.6625,Mr,1
1,3,0,30,0,0,9.5,Mr,1
0,3,0,22,0,0,7.8958,Mr,1
1,2,0,42,0,0,13.0,Mr,1
1,3,1,22,0,0,7.75,Miss,1
1,1,1,26,0,0,78.85,Miss,1
1,1,1,19,1,0,91.0792,Mrs,2
0,2,0,36,0,0,12.875,Mr,1
0,3,1,24,0,0,8.85,Miss,1
0,3,0,24,0,0,7.8958,Mr,1
0,1,0,30,0,0,27.7208,Mr,1
0,3,0,24,0,0,7.2292,Mr,1
0,1,1,2,1,2,151.55,Miss,4
1,1,0,30,0,0,30.5,Mr,1
1,1,1,50,0,1,247.5208,Mrs,2
1,3,1,21,0,0,7.75,Miss,1
1,3,0,30,2,0,23.25,Mr,3
0,3,0,19,0,0,0.0,Mr,1
1,2,1,21,0,0,12.35,Miss,1
0,3,0,30,0,0,8.05,Mr,1
1,1,0,1,1,2,151.55,kid,4
1,1,1,21,0,0,110.8833,Miss,1
1,1,1,17,1,0,108.9,Mrs,2
0,2,0,30,1,0,24.0,Mr,2
1,1,1,30,0,0,56.9292,Miss,1
1,1,1,24,0,0,83.1583,Miss,1
1,1,1,18,2,2,262.375,Miss,5
0,2,1,26,1,1,26.0,Mrs,3
0,3,0,28,0,0,7.8958,Mr,1
0,2,0,43,1,1,26.25,Mr,3
1,3,1,26,0,0,7.8542,Miss,1
1,2,1,24,1,0,26.0,Mrs,2
0,2,0,54,0,0,14.0,Dr,1
1,1,1,31,0,2,164.8667,Miss,3
1,1,1,40,1,1,134.5,Mrs,3
0,3,0,22,0,0,7.25,Mr,1
0,3,0,27,0,0,7.8958,Mr,1
1,2,1,30,0,0,12.35,Miss,1
1,2,1,22,1,1,29.0,Mrs,3
0,3,0,30,8,2,69.55,Mr,11
1,1,1,36,0,0,135.6333,Miss,1
0,3,0,61,0,0,6.2375,Mr,1
1,2,1,36,0,0,13.0,Mrs,1
1,3,1,31,1,1,20.525,Mrs,3
1,1,1,16,0,1,57.9792,Miss,2
1,3,1,21,2,0,23.25,Miss,3
0,1,0,46,0,0,28.5,Mr,1
0,1,0,38,0,1,153.4625,Mr,2
0,3,0,16,2,0,18.0,Mr,3
1,1,1,35,1,0,133.65,Mrs,2
0,3,0,30,0,0,7.8958,Mr,1
0,1,0,29,1,0,66.6,Mr,2
1,1,1,41,0,0,134.5,Miss,1
1,3,0,45,0,0,8.05,Mr,1
0,1,0,45,0,0,35.5,Mr,1
1,2,0,2,1,1,26.0,kid,3
1,1,1,24,3,2,263.0,Miss,6
0,2,0,28,0,0,13.0,Mr,1
0,2,0,25,0,0,13.0,Mr,1
0,2,0,36,0,0,13.0,Mr,1
1,2,1,24,0,0,13.0,Miss,1
1,2,1,40,0,0,13.0,Miss,1
1,3,1,35,1,0,16.1,Mrs,2
1,3,0,3,1,1,15.9,kid,3
0,3,0,42,0,0,8.6625,Mr,1
0,3,0,23,0,0,9.225,Mr,1
0,1,0,30,0,0,35.0,Mr,1
0,3,0,15,1,1,7.2292,Mr,3
0,3,0,25,1,0,17.8,Mr,2
0,3,0,30,0,0,7.225,Mr,1
0,3,0,28,0,0,9.5,Mr,1
1,1,1,22,0,1,55.0,Miss,2
0,2,1,38,0,0,13.0,Miss,1
1,3,1,21,0,0,7.8792,Miss,1
1,3,1,21,0,0,7.8792,Miss,1
0,3,0,40,1,4,27.9,Mr,6
0,2,0,29,1,0,27.7208,Mr,2
0,3,1,45,0,1,14.4542,Mrs,2
0,3,0,35,0,0,7.05,Mr,1
0,3,0,30,1,0,15.5,Mr,2
0,3,0,30,0,0,7.25,Mr,1
1,1,1,60,1,0,75.25,Mrs,2
1,3,1,35,0,0,7.2292,Mrs,1
1,3,1,21,0,0,7.75,Miss,1
1,1,1,24,0,0,69.3,Mrs,1
1,1,0,25,1,0,55.4417,Mr,2
0,3,0,18,1,0,6.4958,Mr,2
0,3,0,19,0,0,8.05,Mr,1
0,1,0,22,0,0,135.6333,Mr,1
0,3,1,3,3,1,21.075,Miss,5
1,1,1,35,1,0,82.1708,Mrs,2
1,3,1,22,0,0,7.25,Miss,1
0,1,0,27,0,2,211.5,Mr,3
0,3,0,20,0,0,4.0125,Mr,1
0,3,0,19,0,0,7.775,Mr,1
1,1,1,42,0,0,227.525,Miss,1
1,3,1,1,0,2,15.7417,Miss,3
0,3,0,32,0,0,7.925,Mr,1
1,1,1,35,1,0,52.0,Mrs,2
0,3,0,30,0,0,7.8958,Mr,1
0,2,0,18,0,0,73.5,Mr,1
0,3,0,1,5,2,46.9,kid,8
1,2,1,36,0,0,13.0,Miss,1
0,3,0,30,0,0,7.7292,Mr,1
1,2,1,17,0,0,12.0,Miss,1
1,1,0,36,1,2,120.0,Mr,4
1,3,0,21,0,0,7.7958,Mr,1
0,3,0,28,2,0,7.925,Mr,3
1,1,1,23,1,0,113.275,Miss,2
1,3,1,24,0,2,16.7,Mrs,3
0,3,0,22,0,0,7.7958,Mr,1
0,3,1,31,0,0,7.8542,Miss,1
0,2,0,46,0,0,26.0,Mr,1
0,2,0,23,0,0,10.5,Dr,1
1,2,1,28,0,0,12.65,Mrs,1
1,3,0,39,0,0,7.925,Mr,1
0,3,0,26,0,0,8.05,Mr,1
0,3,1,21,1,0,9.825,Miss,2
0,3,0,28,1,0,15.85,Mr,2
0,3,1,20,0,0,8.6625,Miss,1
0,2,0,34,1,0,21.0,Mr,2
0,3,0,51,0,0,7.75,Mr,1
1,2,0,3,1,1,18.75,kid,3
0,3,0,21,0,0,7.775,Mr,1
0,3,1,21,3,1,25.4667,Miss,5
0,3,0,30,0,0,7.8958,Mr,1
0,3,0,30,0,0,6.8583,Mr,1
1,1,1,33,1,0,90.0,Miss,2
0,2,0,30,0,0,0.0,Mr,1
1,3,0,44,0,0,7.925,Mr,1
0,3,1,35,0,0,8.05,Mrs,1
1,2,1,34,1,1,32.5,Mrs,3
1,2,1,18,0,2,13.0,Miss,3
0,2,0,30,0,0,13.0,Mr,1
0,3,1,10,0,2,24.15,Miss,3
0,3,0,30,0,0,7.8958,Mr,1
0,3,0,21,0,0,7.7333,Mr,1
0,3,0,29,0,0,7.875,Mr,1
0,3,1,28,1,1,14.4,Mrs,3
0,3,0,18,1,1,20.2125,Mr,3
0,3,0,30,0,0,7.25,Mr,1
1,2,1,28,1,0,26.0,Mrs,2
1,2,1,19,0,0,26.0,Miss,1
0,3,0,30,0,0,7.75,Mr,1
1,3,0,32,0,0,8.05,Mr,1
1,1,0,28,0,0,26.55,Mr,1
1,3,1,35,1,0,16.1,Mrs,2
1,2,1,42,1,0,26.0,Mrs,2
0,3,0,17,0,0,7.125,Mr,1
0,1,0,50,1,0,55.9,Mr,2
1,1,1,14,1,2,120.0,Miss,4
0,3,1,21,2,2,34.375,Miss,5
1,2,1,24,2,3,18.75,Mrs,6
0,1,0,64,1,4,263.0,Mr,6
0,2,0,31,0,0,10.5,Mr,1
1,2,1,45,1,1,26.25,Mrs,3
0,3,0,20,0,0,9.5,Mr,1
0,3,0,25,1,0,7.775,Mr,2
1,2,1,28,0,0,13.0,Miss,1
1,3,0,30,0,0,8.1125,Mr,1
1,1,0,4,0,2,81.8583,kid,3
1,2,1,13,0,1,19.5,Miss,2
1,1,0,34,0,0,26.55,Mr,1
1,3,1,5,2,1,19.2583,Miss,4
1,1,0,52,0,0,30.5,Mr,1
0,2,0,36,1,2,27.75,Mr,4
0,3,0,30,1,0,19.9667,Mr,2
0,1,0,30,0,0,27.75,Mr,1
1,1,0,49,1,0,89.1042,Mr,2
0,3,0,30,0,0,8.05,Mr,1
1,3,0,29,0,0,7.8958,Mr,1
0,1,0,65,0,0,26.55,Mr,1
1,1,1,35,1,0,51.8625,Mrs,2
1,2,1,50,0,0,10.5,Miss,1
0,3,0,30,0,0,7.75,Mr,1
1,1,0,48,0,0,26.55,Mr,1
0,3,0,34,0,0,8.05,Mr,1
0,1,0,47,0,0,38.5,Mr,1
0,2,0,48,0,0,13.0,Mr,1
0,3,0,30,0,0,8.05,Mr,1
0,3,0,38,0,0,7.05,Mr,1
0,2,0,30,0,0,0.0,Mr,1
0,1,0,56,0,0,26.55,Mr,1
0,3,0,30,0,0,7.725,Mr,1
1,3,1,1,2,1,19.2583,Miss,4
0,3,0,30,0,0,7.25,Mr,1
0,3,0,38,0,0,8.6625,Mr,1
1,2,1,33,1,2,27.75,Mrs,4
1,2,1,23,0,0,13.7917,Mrs,1
0,3,1,22,0,0,9.8375,Miss,1
0,1,0,30,0,0,52.0,Mr,1
0,2,0,34,1,0,21.0,Mr,2
0,3,0,29,1,0,7.0458,Mr,2
0,3,0,22,0,0,7.5208,Mr,1
1,3,1,2,0,1,12.2875,Miss,2
0,3,0,9,5,2,46.9,kid,8
0,2,0,30,0,0,0.0,Mr,1
0,3,0,50,0,0,8.05,Mr,1
1,3,1,63,0,0,9.5875,Mrs,1
1,1,0,25,1,0,91.0792,Mr,2
0,3,1,21,3,1,25.4667,Miss,5
1,1,1,35,1,0,90.0,Mrs,2
0,1,0,58,0,0,29.7,Mr,1
0,3,0,30,0,0,8.05,Mr,1
1,3,0,9,1,1,15.9,kid,3
0,3,0,30,1,0,19.9667,Mr,2
0,3,0,21,0,0,7.25,Mr,1
0,1,0,55,0,0,30.5,Mr,1
0,1,0,71,0,0,49.5042,Mr,1
0,3,0,21,0,0,8.05,Mr,1
0,3,0,30,0,0,14.4583,Mr,1
1,1,1,54,1,0,78.2667,Miss,2
0,3,0,30,0,0,15.1,Mr,1
0,1,1,25,1,2,151.55,Mrs,4
0,3,0,24,0,0,7.7958,Mr,1
0,3,0,17,0,0,8.6625,Mr,1
0,3,1,21,0,0,7.75,Miss,1
0,3,1,21,0,0,7.6292,Miss,1
0,3,1,37,0,0,9.5875,Miss,1
1,1,1,16,0,0,86.5,Miss,1
0,1,0,18,1,0,108.9,Mr,2
1,2,1,33,0,2,26.0,Mrs,3
1,1,0,30,0,0,26.55,Mr,1
0,3,0,28,0,0,22.525,Mr,1
1,3,0,26,0,0,56.4958,Mr,1
1,3,0,29,0,0,7.75,Mr,1
0,3,0,30,0,0,8.05,Mr,1
1,1,0,36,0,0,26.2875,Mr,1
1,1,1,54,1,0,59.4,Mrs,2
0,3,0,24,0,0,7.4958,Mr,1
0,1,0,47,0,0,34.0208,Mr,1
1,2,1,34,0,0,10.5,Mrs,1
0,3,0,30,0,0,24.15,Mr,1
1,2,1,36,1,0,26.0,Mrs,2
0,3,0,32,0,0,7.8958,Mr,1
1,1,1,30,0,0,93.5,Miss,1
0,3,0,22,0,0,7.8958,Mr,1
0,3,0,30,0,0,7.225,Mr,1
1,1,1,44,0,1,57.9792,Mrs,2
0,3,0,30,0,0,7.2292,Mr,1
0,3,0,41,0,0,7.75,Mr,1
1,2,1,50,0,0,10.5,Miss,1
0,1,0,30,0,0,221.7792,Mr,1
0,3,0,39,0,0,7.925,Mr,1
0,2,0,23,2,1,11.5,Mr,4
1,2,1,2,1,1,26.0,Miss,3
0,3,0,30,0,0,7.2292,Mr,1
0,3,0,17,1,1,7.2292,Mr,3
1,3,1,35,0,2,22.3583,Mrs,3
0,3,1,30,0,0,8.6625,Miss,1
1,2,1,7,0,2,26.25,Miss,3
0,1,0,45,0,0,26.55,Mr,1
1,1,1,30,0,0,106.425,Miss,1
0,3,0,30,0,0,14.5,Mr,1
1,1,1,22,0,2,49.5,Miss,3
1,1,1,36,0,2,71.0,Miss,3
0,3,1,9,4,2,31.275,Miss,7
0,3,1,11,4,2,31.275,Miss,7
1,2,0,32,1,0,26.0,Mr,2
0,1,0,50,1,0,106.425,Mr,2
0,1,0,64,0,0,26.0,Mr,1
1,2,1,19,1,0,26.0,Mrs,2
1,2,0,30,0,0,13.8625,Mr,1
0,3,0,33,1,1,20.525,Mr,3
1,2,0,8,1,1,36.75,kid,3
1,1,0,17,0,2,110.8833,Mr,3
0,2,0,27,0,0,26.0,Mr,1
0,3,0,30,0,0,7.8292,Mr,1
1,3,0,22,0,0,7.225,Mr,1
1,3,1,22,0,0,7.775,Miss,1
0,1,0,62,0,0,26.55,Mr,1
1,1,1,48,1,0,39.6,Mrs,2
0,1,0,30,0,0,227.525,Mr,1
1,1,1,39,1,1,79.65,Mrs,3
1,3,1,36,1,0,17.4,Mrs,2
0,3,0,30,0,0,7.75,Mr,1
0,3,0,40,0,0,7.8958,Mr,1
0,2,0,28,0,0,13.5,Mr,1
0,3,0,30,0,0,8.05,Mr,1
0,3,1,21,0,0,8.05,Miss,1
0,3,0,24,2,0,24.15,Mr,3
0,3,0,19,0,0,7.8958,Mr,1
0,3,1,29,0,4,21.075,Mrs,5
0,3,0,30,0,0,7.2292,Mr,1
1,3,0,32,0,0,7.8542,Mr,1
1,2,0,62,0,0,10.5,Mr,1
1,1,1,53,2,0,51.4792,Mrs,3
1,1,0,36,0,0,26.3875,Mr,1
1,3,1,21,0,0,7.75,Miss,1
0,3,0,16,0,0,8.05,Mr,1
0,3,0,19,0,0,14.5,Mr,1
1,2,1,34,0,0,13.0,Miss,1
1,1,1,39,1,0,55.9,Mrs,2
0,3,1,35,1,0,14.4583,Mrs,2
1,3,0,32,0,0,7.925,Mr,1
1,2,1,25,1,1,30.0,Miss,3
1,1,1,39,1,1,110.8833,Mrs,3
0,2,0,54,0,0,26.0,Mr,1
0,1,0,36,0,0,40.125,Mr,1
0,3,0,30,0,0,8.7125,Mr,1
1,1,1,18,0,2,79.65,Miss,3
0,2,0,47,0,0,15.0,Mr,1
1,1,0,60,1,1,79.2,Mr,3
0,3,0,22,0,0,8.05,Mr,1
0,3,0,30,0,0,8.05,Mr,1
0,3,0,35,0,0,7.125,Mr,1
1,1,1,52,1,0,78.2667,Mrs,2
0,3,0,47,0,0,7.25,Mr,1
0,3,1,21,0,2,7.75,Miss,3
0,2,0,37,1,0,26.0,Mr,2
0,3,0,36,1,1,24.15,Mr,3
1,2,1,21,0,0,33.0,Miss,1
0,3,0,49,0,0,0.0,Mr,1
0,3,0,30,0,0,7.225,Mr,1
1,1,0,49,1,0,56.9292,Mr,2
1,2,1,24,2,1,27.0,Mrs,4
0,3,0,30,0,0,7.8958,Mr,1
0,1,0,30,0,0,42.4,Mr,1
0,3,0,44,0,0,8.05,Mr,1
1,1,0,35,0,0,26.55,Mr,1
0,3,0,36,1,0,15.55,Mr,2
0,3,0,30,0,0,7.8958,Mr,1
1,1,0,27,0,0,30.5,Mr,1
1,2,1,22,1,2,41.5792,Mrs,4
1,1,1,40,0,0,153.4625,Miss,1
0,3,1,39,1,5,31.275,Mrs,7
0,3,0,30,0,0,7.05,Mr,1
1,3,1,21,1,0,15.5,Miss,2
0,3,0,30,0,0,7.75,Mr,1
0,3,0,35,0,0,8.05,Mr,1
1,2,1,24,1,2,65.0,Miss,4
0,3,0,34,1,1,14.4,Mr,3
0,3,1,26,1,0,16.1,Mrs,2
1,2,1,4,2,1,39.0,Miss,4
0,2,0,26,0,0,10.5,Mr,1
